instance,strategy,colors,time,status
ER_n80_p0.05_s42,No Preprocessing,3,0.052808523178100586,optimal
ER_n80_p0.05_s42,With Preprocessing,3,0.029441356658935547,optimal
ER_n80_p0.05_s123,No Preprocessing,3,0.04844498634338379,optimal
ER_n80_p0.05_s123,With Preprocessing,3,0.030016422271728516,optimal
ER_n80_p0.05_s456,No Preprocessing,3,0.04816484451293945,optimal
ER_n80_p0.05_s456,With Preprocessing,3,0.045955657958984375,optimal
ER_n80_p0.1_s42,No Preprocessing,4,0.09729933738708496,optimal
ER_n80_p0.1_s42,With Preprocessing,4,0.12448930740356445,optimal
ER_n80_p0.1_s123,No Preprocessing,5,1.682931661605835,optimal
ER_n80_p0.1_s123,With Preprocessing,5,2.237792730331421,optimal
ER_n80_p0.1_s456,No Preprocessing,4,0.12938237190246582,optimal
ER_n80_p0.1_s456,With Preprocessing,4,0.10696101188659668,optimal
ER_n80_p0.2_s42,No Preprocessing,6,2.294196367263794,optimal
ER_n80_p0.2_s42,With Preprocessing,6,3.2460997104644775,optimal
ER_n80_p0.2_s123,No Preprocessing,7,60.154096603393555,feasible
ER_n80_p0.2_s123,With Preprocessing,7,60.18800067901611,feasible
ER_n80_p0.2_s456,No Preprocessing,7,60.15642309188843,feasible
ER_n80_p0.2_s456,With Preprocessing,7,60.162779092788696,feasible
ER_n120_p0.05_s42,No Preprocessing,4,0.13869166374206543,optimal
ER_n120_p0.05_s42,With Preprocessing,4,0.19770479202270508,optimal
ER_n120_p0.05_s123,No Preprocessing,4,0.1393587589263916,optimal
ER_n120_p0.05_s123,With Preprocessing,4,0.12375426292419434,optimal
ER_n120_p0.05_s456,No Preprocessing,4,0.12219667434692383,optimal
ER_n120_p0.05_s456,With Preprocessing,4,0.15920400619506836,optimal
ER_n120_p0.1_s42,No Preprocessing,5,0.9076051712036133,optimal
ER_n120_p0.1_s42,With Preprocessing,5,1.059307336807251,optimal
ER_n120_p0.1_s123,No Preprocessing,5,9.500829458236694,optimal
ER_n120_p0.1_s123,With Preprocessing,5,4.426223993301392,optimal
ER_n120_p0.1_s456,No Preprocessing,5,1.0408275127410889,optimal
ER_n120_p0.1_s456,With Preprocessing,5,1.652904748916626,optimal
ER_n120_p0.2_s42,No Preprocessing,8,60.299415588378906,feasible
ER_n120_p0.2_s42,With Preprocessing,8,60.29417157173157,feasible
ER_n120_p0.2_s123,No Preprocessing,8,60.27261209487915,feasible
ER_n120_p0.2_s123,With Preprocessing,8,60.236175775527954,feasible
ER_n120_p0.2_s456,No Preprocessing,8,60.207489013671875,feasible
ER_n120_p0.2_s456,With Preprocessing,8,60.31525206565857,feasible
BA_n100_m2_s42,No Preprocessing,3,0.11246681213378906,optimal
BA_n100_m2_s42,With Preprocessing,3,0.004632711410522461,optimal
BA_n100_m2_s123,No Preprocessing,3,0.10417723655700684,optimal
BA_n100_m2_s123,With Preprocessing,3,0.0028078556060791016,optimal
BA_n100_m2_s456,No Preprocessing,3,0.1099405288696289,optimal
BA_n100_m2_s456,With Preprocessing,3,0.0030622482299804688,optimal
BA_n100_m4_s42,No Preprocessing,5,0.1865992546081543,optimal
BA_n100_m4_s42,With Preprocessing,5,0.005483150482177734,optimal
BA_n100_m4_s123,No Preprocessing,5,0.2694077491760254,optimal
BA_n100_m4_s123,With Preprocessing,5,0.26154422760009766,optimal
BA_n100_m4_s456,No Preprocessing,5,0.19934582710266113,optimal
BA_n100_m4_s456,With Preprocessing,5,0.007609844207763672,optimal
BA_n150_m2_s42,No Preprocessing,3,0.14655566215515137,optimal
BA_n150_m2_s42,With Preprocessing,3,0.004372596740722656,optimal
BA_n150_m2_s123,No Preprocessing,3,0.12950921058654785,optimal
BA_n150_m2_s123,With Preprocessing,3,0.004549503326416016,optimal
BA_n150_m2_s456,No Preprocessing,3,0.1600189208984375,optimal
BA_n150_m2_s456,With Preprocessing,3,0.004053831100463867,optimal
BA_n150_m4_s42,No Preprocessing,5,0.3300600051879883,optimal
BA_n150_m4_s42,With Preprocessing,5,0.00874638557434082,optimal
BA_n150_m4_s123,No Preprocessing,5,0.36046910285949707,optimal
BA_n150_m4_s123,With Preprocessing,5,0.39470338821411133,optimal
BA_n150_m4_s456,No Preprocessing,5,0.26099085807800293,optimal
BA_n150_m4_s456,With Preprocessing,5,0.009659528732299805,optimal
RR_n100_d3_s42,No Preprocessing,3,0.08216166496276855,optimal
RR_n100_d3_s42,With Preprocessing,3,0.07780575752258301,optimal
RR_n100_d3_s123,No Preprocessing,3,0.07784366607666016,optimal
RR_n100_d3_s123,With Preprocessing,3,0.09084296226501465,optimal
RR_n100_d3_s456,No Preprocessing,3,0.08002591133117676,optimal
RR_n100_d3_s456,With Preprocessing,3,0.09016537666320801,optimal
RR_n100_d6_s42,No Preprocessing,4,0.14428234100341797,optimal
RR_n100_d6_s42,With Preprocessing,4,0.2070324420928955,optimal
RR_n100_d6_s123,No Preprocessing,4,0.20343923568725586,optimal
RR_n100_d6_s123,With Preprocessing,4,0.2014451026916504,optimal
RR_n100_d6_s456,No Preprocessing,4,0.27984166145324707,optimal
RR_n100_d6_s456,With Preprocessing,4,0.2584829330444336,optimal
